asin,prop_topic_1,prop_topic_2,prop_topic_3,prop_topic_4,prop_topic_5,prop_topic_6,prop_topic_7,prop_topic_8,prop_topic_9,prop_topic_10,prop_topic_11,prop_topic_12,prop_topic_13,prop_topic_14,prop_topic_15
0001713353,0.09160305343511453,0.018235793044953357,0.4431721798134012,0.027141645462256152,0.047921967769296005,0.03095843935538592,0.022900763358778636,0.03477523324851568,0.03986429177268872,0.04156064461407973,0.07124681933842239,0.03774385072094996,0.03180661577608143,0.0275657336726039,0.033502968617472435
0001061240,0.06093189964157704,0.06272401433691754,0.11827956989247312,0.05555555555555553,0.06451612903225806,0.05913978494623655,0.07706093189964157,0.05555555555555553,0.06451612903225806,0.06810035842293907,0.06272401433691754,0.057347670250896036,0.06272401433691756,0.053763440860215034,0.07706093189964157
0001711296,0.055555555555555566,0.051750380517503816,0.2625570776255708,0.038051750380517516,0.07534246575342465,0.06316590563165908,0.061643835616438374,0.039573820395738216,0.034246575342465765,0.038812785388127866,0.06392694063926943,0.045662100456621016,0.048706240487062416,0.045662100456621016,0.07534246575342465
0002007649,0.028083028083028084,0.03174603174603175,0.02991452991452992,0.10683760683760682,0.04395604395604396,0.04578754578754578,0.03235653235653236,0.029304029304029307,0.040293040293040296,0.040293040293040296,0.3840048840048839,0.04456654456654456,0.04761904761904761,0.06593406593406592,0.029304029304029307
0001716069,0.12564671101256464,0.020694752402069472,0.40059127864005895,0.06577974870657798,0.06282335550628235,0.027839369302783933,0.02266568120226656,0.03325942350332593,0.0256220744025622,0.05050505050505051,0.030549396403054933,0.02981029810298102,0.019216555801921654,0.042621335304262126,0.042374969204237486
0001841572,0.08879392212725548,0.0916429249762583,0.03038936372269706,0.05935422602089267,0.18281101614434944,0.05318138651471983,0.06362773029439693,0.04843304843304843,0.030864197530864206,0.05175688509021842,0.04368471035137701,0.03228869895536563,0.0868945868945869,0.04036087369420703,0.0959164292497626
0002117010,0.04605087014725569,0.23694779116465864,0.1038821954484605,0.04578313253012048,0.061044176706827324,0.04685408299866131,0.034270414993306554,0.02918340026773761,0.056760374832664,0.05729585006693441,0.04926372155287818,0.03801874163319947,0.02757697456492637,0.13386880856760375,0.03319946452476572
0001840266,0.06272401433691757,0.04121863799283155,0.2446236559139785,0.040322580645161296,0.08064516129032256,0.034050179211469536,0.08602150537634408,0.05734767025089605,0.050179211469534066,0.06272401433691757,0.054659498207885314,0.051971326164874564,0.044802867383512544,0.036738351254480286,0.051971326164874564
0001983008,0.07341269841269843,0.0654761904761905,0.08928571428571433,0.0615079365079365,0.0615079365079365,0.05952380952380953,0.07341269841269843,0.0615079365079365,0.06547619047619048,0.06746031746031746,0.06944444444444446,0.0615079365079365,0.0615079365079365,0.0615079365079365,0.06746031746031746
0001712764,0.058922558922558925,0.05218855218855218,0.11952861952861955,0.05555555555555555,0.06565656565656566,0.05555555555555555,0.057239057239057235,0.06060606060606062,0.057239057239057235,0.06397306397306399,0.07744107744107745,0.057239057239057235,0.07575757575757579,0.0622895622895623,0.08080808080808081
0001713205,0.04248366013071896,0.05446623093681918,0.21350762527233114,0.044662309368191724,0.04793028322440087,0.054466230936819175,0.04901960784313725,0.053376906318082805,0.04139433551198257,0.06535947712418301,0.07080610021786493,0.06100217864923749,0.06318082788671024,0.06535947712418301,0.0729847494553377
